Sentence,Length
urgent your  costa del sol holiday or еј await collection call  now toclaim sae tc s pobox stockport skxh costејpm maxmins,122
you have won a guaranteed еј cash or a еј prize to claim yr prize call our customer service representative on  between ampm cost p,130
thanks for your ringtone order ref number k your mobile will be charged еј should your tone not arrive please call customer services on ,136
hi ya babe x u goten bout me scammers getting smartthough this is a regular vodafone no if you respond you get further prem rate msgsubscription other nos used also beware,171
back  work morro half term over can u c me nite  some sexy passion b i have  go back chat now  luv dena calls ејminmobsmorelkpoboxhpfl,134
thanks for your ringtone order ref number r your mobile will be charged еј should your tone not arrive please call customer services on ,136
splashmobile choose from s of gr tones each wk this is a subscrition service with weekly tones costing p u have one credit  kick back and enjoy,143
not heard from u a while call  rude chat private line  to cum wan c pics of me gettin shagged then text pix to  end send stop  sam xxx,134
forwarded from free entry into our еј weekly comp just send the word enter to  now  tc wwwtextcompcom,101
 from  lost pound help,22
had your mobile mths  update for free to oranges latest colour camera mobiles  unlimited weekend calls call mobile upd on freefone  or stoptx,141
you have  new message please call ,34
forwarded from hi  this is your mailbox messaging sms alert you have  messages you have  matches please call back on  to retrieve your messages and matches,155
congrats  year special cinema pass for  is yours call  now c suprman v matrix starwars etc all  free bxipwe pm dont miss out,124
win a year supply of cds  a store of ur choice worth еј  enter our еј weekly draw txt music to  tscs wwwldewcomsubswinppmx,122
moby pub quizwin a еј high street prize if u know who the new duchess of cornwall will be txt her first name to unsub stop еј  sp arrow,135
you have won a nokia i this is what you get when you win our free auction to take part send nokia to  now hgsuitelands rowwjhl  ,128
congratulations thanks to a good friend u have won the еј xmas prize  claim is easy just call  now only p per minute btnationalrate,131
tddnewsletteremccouk more games from thedailydraw dear helen dozens of free games  with great prizeswith,104
urgent your mobile number  won a еј bonus caller prize on  this is the nd attempt to reach you call  asap box nqp ppm,117
double your mins  txts on orange or  price linerental  motorola and sonyericsson with btooth freenokia free call mobileupd on  oroptouthvd,138
download as many ringtones as u like no restrictions s  choose u can even send  yr buddys txt sir to  еј ,105
please call  immediately as there is an urgent message waiting for you,70
spook up your mob with a halloween collection of a logo  pic message plus a free eerie tone txt card spook to  zed p per logopic,128
fantasy football is back on your tv go to sky gamestar on sky active and play ејk dream team scoring starts on saturday so register nowsky opt out to ,150
tone club your subs has now expired  resub reply monoc  monos or polyc  polys  weekly  p per week txt stop  stop this msg free stream ,134
xmas prize draws we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line valid hrs only,137
yes the only place in town to meet exciting adult singles is now in the uk txt chat to  now pmsg,96
someone has contacted our dating service and entered your phone becausethey fancy you to find out who it is call from a landline  pobox wrg p,141
babe u want me dont u baby im nasty and have a thing  filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slomsgs,143
i dont know u and u dont know me send chat to  now and lets find each other only pmsg rcvd hgsuitelandsrowwjhl ldn  years or over,129
sms services for your inclusive text credits pls gotto wwwcomuknet login qxj unsubscribe with stop no extra charge help  comukcm ae,131
valentines day special win over еј in our quiz and take your partner on the trip of a lifetime send go to  now pmsg rcvd custcare,129
guess who am ithis is the first time i created a web page wwwasjesuscom read all i wrote im waiting for your opinions i want to be your friend ,143
for ur chance to win еј cash every wk txt play to  tscs wwwmusictrivianet custcare  xpwk,88
final chance claim ur еј worth of discount vouchers today text yes to  now savamob member offers mobile t cs savamob pobox muz еј subs ,135
sppok up ur mob with a halloween collection of nokia logopic message plus a free eerie tone txt card spook to ,110
urgent call  from landline your complementary  tenerife holiday or еј cash await collection sae tcs po box  wa px ppm  sender hol offer,135
winner as a valued network customer you hvae been selected to receive a еј reward to collect call  valid  hours only aclpm,122
u have won a nokia  plus a free digital camera this is what u get when u win our free auction to take part send nokia to  now poboxtcrw ,136
free entry into our еј weekly comp just send the word win to  now  tc wwwtxttowincouk,85
text get more ringtones logos and games from wwwtxtcom questions infotxtcouk,76
freemsg you have been awarded a free mini digital camera just reply snap to collect your prize quizclub opt out stop pwk sprwm ph,129
this message is brought to you by gmw ltd and is not connected to the,69
congrats  mobile g videophones r yours call  now videochat wid ur mates play java games dload polyph music noline rentl bx ip we p,130
your next amazing xxx picsfree video will be sent to you enjoy if one vid is not enough for day text back the keyword picsfree to get the next video,148
u are subscribed to the best mobile content service in the uk for еј per ten days until you send stop to  helpline ,115
 free tarot texts find out about your love life now try  for free text chance to   only after  free msgs еј each,112
join the uks horniest dogging service and u can have sex nite just sign up and follow the instructions txt entry to  now nytecalpmsgp,133
sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to  еј sptyrone,124
knock knock txt whose there to  to enter r weekly draw  a еј gift voucher  a store of yr choice tcs wwwtklscom age to stoptxtstopејweek,135
forwarded from hi  this is your mailbox messaging sms alert you have  matches please call back on  to retrieve your messages and matches ccpmin,143
free ring tone just text polys to  then every week get a new tone yrs only ејwk,79
urgent your mobile no xxx won a еј bonus caller prize on  this is the nd attempt to reach you call  asap boxnqp ppm,115
you are guaranteed the latest nokia phone a gb ipod mp player or a еј prize txt word collect to no  ibhltd ldnwh pmtmsgrcvd,123
hello darling how are you today i would love to have a chat why dont you tell me what you look like and what you are in to sexy,127
 free for st week no nokia tone  ur mob every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  w wq norm ptone ,136
wanna get laid nite want real dogging locations sent direct to ur mobile join the uks largest dogging network txt park to  now nyt eca lp ејmsg,143
we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call  for delivery,119
new tones this week include mcflyall ab  sara jorgeshock  will smithswitch to order follow instructions on next message,119
urgent we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line claim c valid hrs only,135
sports fans  get the latest sports news str  ur mobile  wk free plus a free tone txt sport on to  wwwgetzedcouk  norm txtp ,123
urgent urgent we have  free flights to europe to give away call b th sept  take a friend  free call now to claim on  bannfwflyppm,129
from  lost еј help,18
freemsg fancy a flirt reply date now  join the uks fastest growing mobile dating service msgs rcvd just p to optout txt stop to  reply date now,143
great new offer  double mins  double txt on best orange tariffs and get latest camera phones  free call mobileupd free on  now or stoptxt tcs,141
hope you enjoyed your new content text stop to  to unsubscribe helpp provided by tonesyoucouk,93
 days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to ,121
urgent please call  from landline еј cash or a luxury  canary islands holiday await collection tcs sae award maq ppm  ып,120
urgent please call  from your landline your complimentary  lux costa del sol holiday or еј cash await collection ppm  sae tcs james  ehrr,137
i dont know u and u dont know me send chat to  now and lets find each other only pmsg rcvd hgsuitelandsrowwjhl ldn  years or over,129
married local women looking for discreet action now  real matches instantly to your phone text match to  msg cost p  stop txt stop bcmsfwcnxx,141
burger king  wanna play footy at a top stadium get  burger king before st sept and go large or super with cocacola and walk out a winner,136
how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night,123
for ur chance to win a еј cash every wk txt action to  tscs wwwmovietriviatv custcare  xpwk,91
uыєve bin awarded еј to play  instant cash call  to claim every th player wins min ејеј optout ,95
freemsgfav xmas tonesreply real,31
december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on  ,141
gr poly tones  all mobs direct u rply with poly title to  eg poly breathe titles crazyin sleepingwith finest ymca getzedcouk poboxowwq p,136
interflora  етits not too late to order interflora flowers for christmas call   to place your order before midnight tomorrow,124
romcapspam everyone around should be responding well to your presence since you are so warm and outgoing you are bringing in a real breath of sunshine,150
congratulations  thanks to a good friend u have won the еј xmas prize  claim is easy just call  now only p per minute btnationalrate,132
send a logo  ur lover   names joined by a heart txt love name name mobno eg love adam eve  to  yahoo poboxwwq txtno  no ads p,125
youve won tkts to the euro cup final or еј cash to collect call  b pobox ppm,76
freemessage jamsterget the crazy frog sound now for poly text mad for real text mad to   crazy sounds for just  gbpweek only tcs apply,134
your chance to be on a reality fantasy show call now   just p per min ntt ltd po box  croydon cr wb  is a national  rate call,125
adult  content your video will be with you shortly,50
your chance to be on a reality fantasy show call now   just p per min ntt ltd po box  croydon cr wb  is a national  rate call,125
hey boys want hot xxx pics sent direct  ur phone txt porn to  hrs free and then just p per day to stop text stopbcm sf wcnxx,124
last chance claim ur еј worth of discount vouchers today text shop to  now savamob offers mobile t cs savamob pobox muz еј sub ,127
pdatenow  double mins and  txts on orange tariffs latest motorola sonyericsson  nokia  bluetooth free call mobileupd on  or calloptoutyhl,137
ur cashbalance is currently  pounds  to maximize ur cashin now send cash to  only pmsg cc  po box  tcrw,103
urgent your mobile number has been awarded with a еј prize guaranteed call  from land line claim  valid hrs only,112
sorry u can not unsubscribe yet the mob offer package has a min term of  weeks pls resubmit request after expiry reply themob help  more info,141
you have  new message please call ,34
we currently have a message awaiting your collection to collect your message just call ,87
urgent your mobile was awarded a еј bonus caller prize on  our final attempt  contact u call ,93
u have a secret admirer reveal who thinks u r so special call  to opt out reply reveal stop  per msg recd cust care ,116
do you ever notice that when youre driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac,132
xmas offer latest motorola sonyericsson  nokia  free bluetooth or dvd double mins   txt on orange call mobileupd on  or calloptoutqf,132
reply to win еј weekly what professional sport does tiger woods play send stop to  to end service,97
no  polyphonic tone  ur mob every week just txt pt to  st tone free  so get txtin now and tell ur friends ptone  reply hl info,126
hot live fantasies call now  just p per min ntt ltd po box  croydon cr wb  is a national rate call,98
this message is free welcome to the new  improved sex  dogging club to unsubscribe from this service reply stop msgsp only,122
youve won tkts to the euro cup final or еј cash to collect call  b pobox ppm,76
loan for any purpose еј  еј homeowners  tenants welcome have you been previously refused we can still help call free   or text back help,136
updatenow  mths half price orange line rental minscall mobileupd on  or calloptoutjq,84
free unlimited hardcore porn direct  your mobile txt porn to   get free access for  hrs then chrgdp per day txt stop exit this msg is free,138
eastenders tv quiz what flower does dot compare herself to d violet e tulip f lily txt d e or f to  now  chance  win еј cash wkentp,131
you are now unsubscribed all services get tons of sexy babes or hunks straight to your phone go to httpgotbabescouk no subscriptions,132
hi babe its jordan how r u im home from abroad and lonely text me back if u wanna chat xxsp visionsmscom text stop to stopcost p ,129
get a brand new mobile phone by being an agent of the mob plus loads more goodies for more info just text mat to ,113
lord of the ringsreturn of the king in store nowreply lotr by  june  chance  win lotr soundtrack cds stdtxtrate reply stop to end txts,134
good luck draw takes place th feb  good luck for removal send stop to  customer services ,89
free entry in  a weekly comp for a chance to win an ipod txt pod to  to get entry std txt rate tcs apply  for details ,118
st wk free gr tones str  u each wk txt nokia on to  for classic nokia tones or hit on to  for polys nokiap polyp ,113
lookatme thanks for your purchase of a video clip from lookatme youve been charged p think you can do better why not send a video in a mmsto ,141
sexy sexy cum and text me im wet and warm and ready for some porn u up for some fun this msg is free recd msgs p inc vat  cancel text stop,138
hard live  chat just pmin choose your girl and connect live call  now cheap chat uks biggest live service vu bcmwcnxx,117
not heard from u a while call  rude chat private line  to cum wan c pics of me gettin shagged then text pix to  end send stop  sam xxx,134
this is the nd time we have tried to contact u u have won the еј prize to claim just call  b  tcsstop sms  ppm,110
hot live fantasies call now  just p per min ntt ltd po box  croydon cr wb k,75
dear voucher holder to claim this weeks offer at you pc please go to httpwwwetlpcoukreward tscs apply,101
ur going  bahamas callfreefone  and speak to a live operator to claim either bahamas cruise ofеј cash only to opt out txt x to ,127
this is the nd time we have tried  contact u u have won the  pound prize  claim is easy call  now only p per min btnationalrate,127
ur awarded a city break and could win a еј summer shopping spree every wk txt store to skilgmetscswinawkageејperwksub,117
urgent we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line claim y valid hrs only,135
thanks for your ringtone order reference number x your mobile will be charged  should your tone not arrive please call customer services ,137
six chances to win cash from  to  pounds txt csh and send to  cost pday days  tsandcs apply reply hl  info,106
ur cashbalance is currently  pounds  to maximize ur cashin now send collect to  only pmsg cc  po box  tcrw,106
congratulations thanks to a good friend u have won the еј xmas prize  claim is easy just call  now only p per minute btnationalrate,131
  do you want a new nokia i colour phone deliveredtomorrow with  free minutes to any mobile   free texts  free camcorder reply or call ,135
you have  new voicemail please call ,36
someone u know has asked our dating service  contact you cant guess who call  now all will be revealed pobox  lshb p ,117
camera  you are awarded a sipix digital camera call  fromm landline delivery within  days,89
todays voda numbers ending  are selected to receive a  award if you hava a match please call  quoting claim code  standard rates app ,133
this message is free welcome to the new  improved sex  dogging club to unsubscribe from this service reply stop msgsp  only,123
rct thnq adrian for u text rgds vatian,38
free message activate your  free text messages by replying to this message with the word free for terms  conditions visit wwwcom,128
you are being contacted by our dating service by someone you know to find out who it is call from a land line  poboxwtgp,120
sorry i missed your call lets talk when you have the time im on ,64
complimentary  star ibiza holiday or еј cash needs your urgent collection  now from landline not to lose out boxskwpppm,119
free msgwe billed your mobile number by mistake from shortcode please call  to have charges refundedthis call will be free from a bt landline,141
please call  immediately as there is an urgent message waiting for you,70
urgent your mobile number has been awarded with a еј bonus caller prize call  from land line valid hrs only,107
as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a еј bonus prize call ,135
do you want a new nokia i colour phone deliveredtomorrow with  free minutes to any mobile   free texts  free camcorder reply or call ,133
life has never been this much fun and great until you came in you made it truly special for me i wont forget you enjoy  one gbpsms,130
do you want a new video phone  anytime any network mins  inclusive video calls and downloads  per week free deltomorrow call  or reply now,138
as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a еј bonus prize call ,135
welcome please reply with your age and gender to begin eg m,59
freemsg month unlimited free calls activate smartcall txt call to no  subscriptngbpwk unlimited calls help  stoptxt stop landlineonly,133
had your mobile  mths update to latest orange cameravideo phones for free save ејs with free textsweekend calls text yes for a callback orno to opt out,151
am new  club  dont fink we met yet will b gr  c u please leave msg day wiv ur area  reply promised carlie x callsејminmobsmore lkpoboxhpfl,138
camera  you are awarded a sipix digital camera call  fromm landline delivery within  days,89
get a free mobile video player free movie to collect text go to  its free extra films can be ordered ts and cs apply  yrs only,126
save money on wedding lingerie at wwwbridalpetticoatdreamscouk choose from a superb selection with national delivery brought to you by weddingfriend,148
not heard from u a while call me now am here all night with just my knickers on make me beg for it like u did last time  xx luv nikiyunet,137
bloomberg message center  why wait apply for your future httpcareers bloombergcom,81
urgent we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line claim m validhrs only,134
do you want a new video phone anytime any network mins  text for only five pounds per week call  now or reply for delivery tomorrow,131
you are being contacted by our dating service by someone you know to find out who it is call from a land line  poboxwtgp,120
wan win a meetgreet with westlife  u or a m they are currently on what tour unbreakable untamed unkempt text  or  to  cost p std text,133
dorothykiefercom bank of granite issues strongbuy explosive pick for our members up over   nasdaq symbol cdgt that is a  per,124
you are a еј winner or guaranteed caller prize this is our final attempt to contact you to claim call  now ppmpoboxbhambxe,122
xmas  new years eve tickets are now on sale from the club during the day from am till pm and on thurs fri  sat night this week theyre selling fast,146
rock yr chik get s of filthy films xxx pics on yr phone now rply filth to  saristar ltd e yt  p per  days stop cancel,117
from next month get upto  more calls  ur standard network charge  activate call  c wirenet stterms pobox m uz cost еј min mobcudb more,134
urgent we are trying to contact u todays draw shows that you have won a еј prize guaranteed call  from land line claim j po boxcpm,130
text banneduk to  to see cost p textoperator gga  xxx,53
auction round  the highest bid is now еј next maximum bid is еј to bid send bids e g  to bid еј to  good luck,109
collect your valentines weekend to paris inc flight  hotel  еј prize guaranteed text paris to no  wwwrtfsphostingcom,116
customer loyalty offerthe new nokia mobile from only еј at txtauction txt word start to no   get yours now tctxt tc pmtmsg,122
you wont believe it but its true its incredible txts reply g now to learn truly amazing things that will blow your mind from ofwd only ptxt,139
hi  ibh customer loyalty offer the new nokia mobile from only еј at txtauctiontxt wordstart to no  get yours nowt,113
i am hot n horny and willing i live local to you  text a reply to hear strt back from me p per msg netcollex ltdhelpdesk  reply stop to end,139
do you want a new nokia i colour phone delivered tomorrow with  free minutes to any mobile   free text  free camcorder reply or call ,133
congratulations youve won youre a winner in our august еј prize draw call  now prize code ,90
 p  alfie moons children in need song on ur mob tell ur ms txt tone charity to  for nokias or poly charity for polys zed  profit  charity ,138
get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to  optout txt eng stop box wwx еј,138
customer service announcement we recently tried to make a delivery to you but were unable to do so please call  to reschedule ref,129
you can stop further club tones by replying stop mix see mytonecomenjoy html for terms club tones cost gbpweek mfl,114
wamma get laidwant real doggin locations sent direct to your mobile join the uks largest dogging network txt dogs to  nownyt eca lp ејmsg,137
you have won a nokia i this is what you get when you win our free auction to take part send nokia to  now hgsuitelands rowwjhl ,127
promotion number   ur awarded a city break and could win a еј summer shopping spree every wk txt store to   skilgme tscswinawkage ејperwksub,140
you are a winner you have been specially selected to receive еј cash or a еј award speak to a live operator to claim call ampm cost p,133
free top ringtone sub to weekly ringtoneget st week freesend subpoly to  per weekstop sms,89
thanks for your ringtone order reference number x your mobile will be charged  should your tone not arrive please call customer services  from colourredtextcolourtxtstar,169
hi there nights ur lucky night uve been invited  xchat the uks wildest chat txt chat to  now pmsgrcvdhgsuitelandsrowwjhl ldn yrs,128
 tfp,4
dear voucher holder  claim your st class airport lounge passes when using your holiday voucher call  when booking quote st class x ,131
bloomberg message center  why wait apply for your future httpcareers bloombergcom,81
yes the only place in town to meet exciting adult singles is now in the uk txt chat to  now pmsg,96
free for st week no nokia tone  ur mob every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  wwq normptone ,133
someone u know has asked our dating service  contact you cant guess who call  now all will be revealed pobox  sxy p ,116
mila age blonde new in uk i look sex with uk guys if u like fun with me text mtalk to   pptxt st free еј increments help,120
claim a  shopping spree just call  now have you won mobstorequizppm,67
want to funk up ur fone with a weekly new tone reply tonesu  this text wwwringtonescouk the original n best tones gbp network operator rates apply,146
twinks bears scallies skins and jocks are calling now dont miss the weekends fun call  at pmin  stop texts call nat rate,120
we tried to contact you re your reply to our offer of a video handset  anytime any networks mins unlimited text camcorder reply or call  now,140
urgent we are trying to contact you last weekends draw shows that you have won a еј prize guaranteed call  claim code k valid hours only,136
 xmas iscoming  ur awarded either еј cd gift vouchers  free entry  r еј weekly draw txt music to  tnc,101
congratulations u can claim  vip row a tickets  c blu in concert in november or blu gift guaranteed call  to claim tscs wwwsmsconet costејmax ,142
fantasy football is back on your tv go to sky gamestar on sky active and play ејk dream team scoring starts on saturday so register nowsky opt out to ,150
free msg single find a partner in your area s of real people are waiting to chat nowsend chat to cncl send stopcs еј per msg,124
win the newest етharry potter and the order of the phoenix book  reply harry answer  questions  chance to be the first among readers,132
free msg ringtonefrom httptms widelivecomindex wmlidbaeceffffirsttruejul,72
oh my god ive found your number again im so glad text me back xafter this msgs cst std ntwk chg еј,98
a link to your picture has been sent you can also use httpaltocoukwavewaveaspo,78
double mins   txts on orange tariffs latest motorola sonyericsson  nokia with bluetooth free call mobileupd on  or calloptouthf,127
urgent this is our nd attempt to contact u your еј prize from yesterday is still awaiting collection to claim call now  aclpm,125
dear dave this is your final notice to collect your  tenerife holiday or  cash award call  from landline tcs sae box cwwx ppm,125
tells u  call  to claim еј prize u have  enter all ur mobile  personal details  the prompts careful,99
your  account for xxxxxxxxx shows  unredeemed points to claim call  identifier code xxxxx expires ,98
do you want a new video handset  anytime any network mins half price line rental camcorder reply or call  for delivery tomorrow,127
you have an important customer service announcement call freephone    now,73
freeringtone reply real or poly eg real  pushbutton  dontcha  babygoodbye  golddigger  webeburnin st tone free and  more when u join for ејwk,141
free msg get gnarls barkleys crazy ringtone totally free just reply go to this message right now,96
refused a loan secured or unsecured cant get credit call free now    or text back help  we will,95
you have been specially selected to receive a  award call  before the lines close cost ppm  tcs apply ag promo,110
you have won as a valued vodafone customer our computer has picked you to win a еј prize to collect is easy just call ,118
free video camera phones with half price line rental for  mths and  cross ntwk mins  txts call mobileupd  or calloptout,119
great new offer  double mins  double txt on best orange tariffs and get latest camera phones  free call mobileupd free on  now or stoptxt tcs,141
ringtoneking ,13
ringtone club gr new polys direct to your mobile every week ,60
bank of granite issues strongbuy explosive pick for our members up over   nasdaq symbol cdgt that is a  per,107
bored housewives chat n date now  btnational rate pmin only from landlines,74
we tried to call you re your reply to our sms for a video mobile  mins unlimited text free camcorder reply or call now  del thurs,129
this is the nd time we have tried to contact u u have won the еј prize  claim is easy just call  now only p per minute btnationalrate,133
wan win a meetgreet with westlife  u or a m they are currently on what tour unbreakable untamed unkempt text  or  to  cost p std text,133
please call our customer service representative on freephone    between ampm as you have won a guaranteed еј cash or еј prize,125
you will be receiving this weeks triple echo ringtone shortly enjoy it,70
uve been selected to stay in  of  top british hotels  for nothing holiday valued at еј dial  to claim  national rate call bx swss,129
you are chosen to receive a еј award pls call claim number  to collect your award which you are selected to receive as a valued mobile customer,143
please call our customer service representative on freephone    between ampm as you have won a guaranteed еј cash or еј prize,125
win a еј cash prize or a prize worth еј,39
thanks for your ringtone order reference number xyour mobile will be charged  should your tone not arrive please call customer services ,136
moby pub quizwin a еј high street prize if u know who the new duchess of cornwall will be txt her first name to unsub stop еј  sp,129
this weeks savamob member offers are now accessible just call  for details savamob pobox  la wu only ејweek savamob  offers mobile,130
you are being contacted by our dating service by someone you know to find out who it is call from your mobile or landline  poboxldns ,133
tbspersolvo been chasing us since sept forеј definitely not paying now thanks to your information we will ignore them kath manchester,133
loans for any purpose even if you have bad credit tenants welcome call noworriesloanscom on ,92
 kick off a new season with wks free goals  news to ur mobile txt ur club name to  eg villa to ,95
orange brings you ringtones from all time chart heroes with a free hit each week go to ringtones  pics on wap to stop receiving these tips reply stop,149
private your  account statement for  shows  unredeemed s i m points call  identifier code  expires ,99
we tried to call you re your reply to our sms for a video mobile  mins unlimited text  free camcorder reply of call  now,120
gsoh good with spam the ladiesu could b a male gigolo  join the uks fastest growing mens club reply oncall mjzgroup stop reply stop msgејrcvd,141
u have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on ,117
hot live fantasies call now  just p per min ntt ltd po box  croydon cr wb  is a national rate call,98
urgent your mobile number has been awarded a ukp prize guaranteed call  from landline claim  valid hrs only ppm,111
spjanuary male sale hot gay chat now cheaper call  national rate from pmin cheap to pmin peak to stop texts call  pmin,118
freemsg todays the day if you are ready im horny  live in your town i love sex fun  games netcollex ltd p per msg reply stop to end,131
in the simpsons movie released in july  name the band that died at the start of the film agreen day bblue day cred day send a b or c,132
please call amanda with regard to renewing or upgrading your current tmobile handset free of charge offer ends today tel    subject to ts and cs,144
urgent your  costa del sol holiday or еј await collection call  now toclaim sae tc s pobox stockport skxh costејpm maxmins,122
want a new video phone  anytime any network mins half price line rental free text for  months reply or call  for free delivery,126
had your mobile  months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on ,139
dear voucher holder to claim this weeks offer at your pc please go to httpwwwwtlpcouktext tscs apply,100
congrats nokia  video camera phone is your call  calls cost ppm ave call mins vary from mobiles  close  post bcm ldn wcnxx,122
urgent please call  your abta complimentary  spanish holiday or еј cash await collection sae tcs box  po ez ppm ,112
double mins and txts  months free bluetooth on orange available on sony nokia motorola phones call mobileupd on  or calloptoutndx,129
free for st week no nokia tone  ur mob every week just txt nokia to  get txting and tell ur mates wwwgetzedcouk pobox  wwq normptone ,133
want to funk up ur fone with a weekly new tone reply tonesu  this text wwwringtonescouk the original n best tones gbp network operator rates apply,146
cmon babe make me horny turn me on txt me your fantasy now babe  im hot sticky and need you now all replies cost еј  cancel send stop,133
important information  orange user xxxxxx today is ur lucky day find out why log onto httpwwwurawinnercom theres a fantastic prizeawaiting you,142
missed call alert these numbers called but left no message ,59
freemsg our records indicate you may be entitled to  pounds for the accident you had to claim for free reply with yes to this msg to opt out text stop,150
u can win еј of music gift vouchers every week starting now txt the word draw to  tscs wwwidewcom skillgame winaweek age ppermesssubscription,141
show ur colours euro   offer get an england flag  lions tone on ur phone click on the following service message for info,120
text pass to  to collect your polyphonic ringtones normal gprs charges apply only enjoy your tones,98
accordingly i repeat just text the word ok on your mobile phone and send,72
block breaker now comes in deluxe format with new features and great graphics from tmobile buy for just еј by replying get bbdeluxe and take the challenge,154
important information  orange user  today is your lucky dayfind out why log onto httpwwwurawinnercom theres a fantastic surprise awaiting you,141
natalja f is inviting you to be her friend reply yes or no see her wwwsmsacunat stop send stop frnd to ,103
urgent important information for  user today is your lucky day  find out why  log onto httpwwwurawinnercom there is a fantastic surprise awaiting you ,150
winner as a valued network customer you have been selected to receivea еј prize reward to claim call  claim code kl valid  hours only,133
kit strip  you have been billed p netcollex ltd po box  ig oja,62
hmv bonus special  pounds of genuine hmv vouchers to be won just answer  easy questions play now send hmv to  more infowwwpercentrealcom,136
please call  immediately as there is an urgent message waiting for you,70
thesmszonecom lets you send free anonymous and masked messagesim sending this message from theredo you see the potential for abuse,130
well done your  costa del sol holiday or еј await collection call  now toclaim sae tcs pobox stockport skxh costејpm maxmins,124
someone u know has asked our dating service  contact you cant guess who call  now all will be revealed po box m wu,114
congrats  mobile g videophones r yours call  now videochat wid ur mates play java games dload polyh music noline rentl bx ip we pm,130
u  have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on ,118
important information  orange user xxxxxxx today is your lucky dayfind out why log onto httpwwwurawinnercom theres a fantastic surprise awaiting you,148
our dating service has been asked  contact u by someone shy call  now all will be revealed pobox m uz p,103
do you want a new video handset  any time any network mins unlimited text camcorder reply or call now  for del sat am,117
ur balance is now еј next question complete the landmark big a bob b barry or c ben  text a b or c to  good luck,112
ur tonexs subscription has been renewed and you have been charged еј you can choose  more polys this month wwwclubzedcouk billing msg,133
if you dont your prize will go to another customer tc at wwwtcbiz  pmin polo ltd suite  london wj hl please call back if busy,125
do you want a new nokia i colour phone delivered tomorrow with  free minutes to any mobile   free text  free camcorder reply or call ,133
recpt  you have ordered a ringtone your order is being processed,64
as one of our registered subscribers u can enter the draw  a  gb gift voucher by replying with enter to unsubscribe text stop,125
for your chance to win a free bluetooth headset then simply reply back with adp,79
dont b floppy b snappy  happy only gay chat service with photo upload call  pmin  stop our texts call ,102
urgent ur awarded a complimentary trip to eurodisinc trav acoentry or еј to claim txt dis to  ејmorefrmmob shracomorsglsuplt ls aj,130
welcome to ukmobiledate this msg is free giving you free calling to  future mgs billed at p daily to cancel send go stop to ,124
 you have received your mobile content enjoy,44
want explicit sex in  secs ring  now costs pmin,47
latest nokia mobile or ipod mp player еј proze guaranteed reply with win to  now norcorp ltdејmtmsgrcvd,103
sms services for your inclusive text credits pls goto wwwcomuknet login qxj unsubscribe with stop no extra charge help comuk cm ae,130
mobile club choose any of the top quality items for your mobile cfcaa,69
money i have won wining number  wot do i do next,48
congrats  mobile g videophones r yours call  now videochat wid ur mates play java games dload polyh music noline rentl bx ip we pm,130
i want some cock my hubbys away i need a real man  satisfy me txt wife to  for no strings action txt stop  end txt rec ејea otbox  la ws ,137
gr new service  live sex video chat on your mob  see the sexiest dirtiest girls live on ur phone   details text horny to  to cancel send stop to ,145
freemsg hi baby wow just got a new cam moby wanna c a hot pic or fancy a chatim win utxt  rply chat to  hlp  msgp rcv,117
wanna have a laugh try chitchat on your mobile now logon by txting the word chat and send it to no  cm po box  london wa zf  pmsg rcvd,134
urgent this is the nd attempt to contact uu have won ејcall  b tcsbcmwcnxxcallcostppmmobilesvary maxеј ,103
congratulations ur awarded  of cd vouchers or gift guaranteed  free entry   wkly draw txt music to ,99
had your contract mobile  mnths latest motorola nokia etc all free double mins  text on orange tariffs text yes for callback no to remove from records,150
urgent call  from your landline your complimentary  ibiza holiday or  cash await collection sae tcs po box  sk wp  ppm ,119
for ur chance to win a еј wkly shopping spree txt shop to  tscs wwwtxtshopcom custcare  xpwk,92
u have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on stopsmsppm,127
mila age blonde new in uk i look sex with uk guys if u like fun with me text mtalk to   pptxt st free еј increments help,120
well done england get the official poly ringtone or colour flag on yer mobile text tone or flag to  now optout txt eng stop box wwx еј,134
